 Name                           Version         License                                                                             
 Babel                          2.8.0           BSD License                                                                         
 Brotli                         1.0.9           MIT License                                                                         
 Django                         4.1.1           BSD License                                                                         
 Flask                          1.1.1           BSD License                                                                         
 Flask                          2.2.2           BSD License                                                                         
 Flask-Cors                     3.0.10          MIT License                                                                         
 Flask-Cors                     3.0.10          MIT License                                                                         
 Jinja2                         3.0.3           BSD License                                                                         
 Jinja2                         3.0.3           BSD License                                                                         
 Jinja2                         3.1.2           BSD License                                                                         
 MarkupSafe                     2.0.1           BSD License                                                                         
 MarkupSafe                     2.1.1           BSD License                                                                         
 MarkupSafe                     2.1.1           BSD License                                                                         
 Metaphone                      0.6             BSD                                                                                 
 Pillow                         9.0.1           Historical Permission Notice and Disclaimer (HPND)                                  
 Pillow                         9.2.0           Historical Permission Notice and Disclaimer (HPND)                                  
 PyGObject                      3.42.1          GNU Lesser General Public License v2 or later (LGPLv2+)                             
 PyJWT                          2.3.0           MIT License                                                                         
 PyJWT                          2.5.0           MIT License                                                                         
 PyNaCl                         1.5.0           Apache License 2.0                                                                  
 PyQt5                          5.15.6          GPL v3                                                                              
 PyQt5-sip                      12.9.1          SIP                                                                                 
 PyYAML                         5.4.1           MIT License                                                                         
 Pygments                       2.11.2          BSD License                                                                         
 Pygments                       2.13.0          BSD License                                                                         
 SQLAlchemy                     1.3.24          MIT License                                                                         
 SecretStorage                  3.3.1           BSD License                                                                         
 Send2Trash                     1.8.1b0         BSD License                                                                         
 Werkzeug                       2.2.2           BSD License                                                                         
 Werkzeug                       2.2.2           BSD License                                                                         
 aiohttp                        3.8.3           Apache Software License                                                             
 aiosignal                      1.3.1           Apache Software License                                                             
 anyio                          3.6.2           MIT License                                                                         
 appdirs                        1.4.4           MIT License                                                                         
 appimage-builder               1.1.0           MIT License                                                                         
 apt-xapian-index               0.49            GPL                                                                                 
 argh                           0.26.2          GNU Library or Lesser General Public License (LGPL)                                 
 argh                           0.26.2          GNU Library or Lesser General Public License (LGPL)                                 
 argon2-cffi                    21.1.0          MIT License                                                                         
 asgiref                        3.5.2           BSD License                                                                         
 asttokens                      2.1.0           Apache 2.0                                                                          
 async-generator                1.10            Apache Software License; MIT License                                                
 async-timeout                  4.0.2           Apache Software License                                                             
 atomicwrites                   1.4.1           MIT License                                                                         
 atomicwrites                   1.4.1           MIT License                                                                         
 attrs                          21.2.0          MIT License                                                                         
 backcall                       0.2.0           UNKNOWN                                                                             
 bcrypt                         3.2.0           Apache Software License                                                             
 beautifulsoup4                 4.10.0          MIT License                                                                         
 beautifulsoup4                 4.11.1          MIT License                                                                         
 beniget                        0.4.1           BSD License                                                                         
 bleach                         4.1.0           Apache Software License                                                             
 blinker                        1.4             MIT License                                                                         
 bokeh                          2.4.3           BSD License                                                                         
 borgbackup                     1.2.0           BSD License                                                                         
 certifi                        2020.6.20       Mozilla Public License 2.0 (MPL 2.0)                                                
 certifi                        2022.9.14       Mozilla Public License 2.0 (MPL 2.0)                                                
 chardet                        4.0.0           GNU Library or Lesser General Public License (LGPL)                                 
 charset-normalizer             2.1.1           MIT License                                                                         
 click                          8.0.3           BSD License                                                                         
 cloudpickle                    2.2.0           BSD License                                                                         
 colorama                       0.4.4           BSD License                                                                         
 colorama                       0.4.5           BSD License                                                                         
 command-not-found              0.3             UNKNOWN                                                                             
 commonmark                     0.9.1           BSD License                                                                         
 contextlib2                    21.6.0          Apache Software License; Python Software Foundation License                         
 coreapi                        2.3.3           BSD License                                                                         
 coreschema                     0.0.4           BSD License                                                                         
 cryptography                   3.4.8           Apache Software License; BSD License                                                
 cupshelpers                    1.0             UNKNOWN                                                                             
 cycler                         0.11.0          BSD License                                                                         
 dask                           2022.11.1       BSD License                                                                         
 dataprep                       0.4.5           MIT License                                                                         
 dbus-python                    1.2.18          MIT License                                                                         
 debugpy                        1.6.3           Eclipse Public License 2.0 (EPL-2.0); MIT License                                   
 decorator                      4.4.2           BSD License                                                                         
 decorator                      4.4.2           BSD License                                                                         
 defusedxml                     0.7.1           Python Software Foundation License                                                  
 distro                         1.7.0           Apache Software License                                                             
 distro-info                    1.1build1       UNKNOWN                                                                             
 django-appconf                 1.0.5           BSD License                                                                         
 django-cors-headers            3.13.0          MIT License                                                                         
 django-filter                  22.1            BSD License                                                                         
 django-imagekit                4.1.0           BSD License                                                                         
 django-ninja                   0.19.1          MIT License                                                                         
 djangorestframework            3.13.1          BSD License                                                                         
 djangorestframework-simplejwt  5.2.0           MIT License                                                                         
 docker                         5.0.3           Apache Software License                                                             
 docker-compose                 1.29.2          Apache Software License                                                             
 dockerpty                      0.4.1           Apache Software License                                                             
 docopt                         0.6.2           MIT License                                                                         
 drf-yasg                       1.21.3          BSD License                                                                         
 duplicity                      0.8.21          GNU General Public License v2 (GPLv2)                                               
 emrichen                       0.3.0           MIT                                                                                 
 entrypoints                    0.4             MIT License                                                                         
 executing                      0.8.3           MIT License                                                                         
 fastapi                        0.88.0          MIT License                                                                         
 fasteners                      0.14.1          Apache Software License                                                             
 ffmpeg-python                  0.2.0           Apache Software License                                                             
 fonttools                      4.29.1          MIT License                                                                         
 frozenlist                     1.3.3           Apache Software License                                                             
 fs                             2.4.12          MIT License                                                                         
 fsspec                         2022.11.0       BSD License                                                                         
 fuse-python                    1.0.2           GNU Library or Lesser General Public License (LGPL)                                 
 future                         0.18.2          MIT License                                                                         
 future                         0.18.2          MIT License                                                                         
 gast                           0.5.2           BSD License                                                                         
 gpg                            1.16.0-unknown  GNU Lesser General Public License v2 or later (LGPLv2+)                             
 h11                            0.12.0          MIT License                                                                         
 html5lib                       1.1             MIT License                                                                         
 httpcore                       0.15.0          BSD License                                                                         
 httplib2                       0.20.2          MIT License                                                                         
 httpx                          0.23.0          BSD License                                                                         
 idna                           3.3             BSD License                                                                         
 idna                           3.4             BSD License                                                                         
 imageio                        2.22.0          BSD License                                                                         
 imageio-ffmpeg                 0.4.7           BSD License                                                                         
 importlib-metadata             4.6.4           Apache Software License                                                             
 inflection                     0.5.1           MIT License                                                                         
 ipykernel                      6.7.0           BSD License                                                                         
 ipython                        7.31.1          BSD License                                                                         
 ipython_genutils               0.2.0           BSD License                                                                         
 ipywidgets                     6.0.0           BSD License                                                                         
 ipywidgets                     7.7.2           BSD License                                                                         
 itsdangerous                   2.1.2           BSD License                                                                         
 itsdangerous                   2.1.2           BSD License                                                                         
 itypes                         1.2.0           BSD License                                                                         
 jedi                           0.18.0          MIT License                                                                         
 jeepney                        0.7.1           MIT License                                                                         
 joblib                         1.2.0           BSD License                                                                         
 jsonpath-ng                    1.5.3           Apache Software License                                                             
 jsonpath-rw                    1.4.0           Apache Software License                                                             
 jsonschema                     3.2.0           MIT License                                                                         
 jupyter-client                 7.1.2           BSD License                                                                         
 jupyter-core                   4.9.1           BSD License                                                                         
 jupyterlab-pygments            0.1.2           BSD                                                                                 
 jupyterlab-widgets             1.1.1           BSD License                                                                         
 kazam                          1.4.5           GNU Library or Lesser General Public License (LGPL)                                 
 keyring                        23.5.0          MIT License; Python Software Foundation License                                     
 kiwisolver                     1.3.2           BSD License                                                                         
 language-selector              0.1             UNKNOWN                                                                             
 launchpadlib                   1.10.16         GNU Library or Lesser General Public License (LGPL)                                 
 lazr.restfulclient             0.14.4          GNU Library or Lesser General Public License (LGPL)                                 
 lazr.uri                       1.0.6           GNU Library or Lesser General Public License (LGPL)                                 
 libretrofuzz                   2.7.4           MIT License                                                                         
 lief                           0.12.3          Apache License 2.0                                                                  
 livehttp                       0.0.7           BSD                                                                                 
 livehttp                       0.0.7           BSD                                                                                 
 llfuse                         1.3.8           GNU Library or Lesser General Public License (LGPL)                                 
 locket                         1.0.0           BSD License                                                                         
 lockfile                       0.12.2          MIT License                                                                         
 lxml                           4.8.0           BSD License                                                                         
 lz4                            3.1.3+dfsg      BSD License                                                                         
 matplotlib                     3.5.1           Python Software Foundation License                                                  
 matplotlib-inline              0.1.3           BSD 3-Clause                                                                        
 monotonic                      1.6             Apache Software License                                                             
 more-itertools                 8.10.0          MIT License                                                                         
 mpmath                         0.0.0           BSD License                                                                         
 msgpack                        1.0.3           Apache Software License                                                             
 mss                            7.0.1           MIT License                                                                         
 multidict                      6.0.2           Apache Software License                                                             
 mysqlclient                    1.4.6           GNU General Public License (GPL)                                                    
 natsort                        8.0.2           MIT License                                                                         
 nbclient                       0.5.6           BSD License                                                                         
 nbconvert                      6.4.0           BSD License                                                                         
 nbformat                       5.1.3           BSD License                                                                         
 nest-asyncio                   1.5.4           BSD License                                                                         
 netifaces                      0.11.0          MIT License                                                                         
 ninja                          1.10.2.3        Apache Software License; BSD License                                                
 nltk                           3.7             Apache Software License                                                             
 notebook                       6.4.8           BSD License                                                                         
 numpy                          1.21.5          BSD License                                                                         
 numpy                          1.23.3          BSD License                                                                         
 oauthlib                       3.2.0           BSD License                                                                         
 olefile                        0.46            BSD License                                                                         
 openapi-codec                  1.3.2           BSD License                                                                         
 outcome                        1.1.0           Apache Software License; MIT License                                                
 packaging                      21.3            Apache Software License; BSD License                                                
 packaging                      21.3            Apache Software License; BSD License                                                
 pandas                         1.5.1           BSD License                                                                         
 pandocfilters                  1.5.0           BSD License                                                                         
 paramiko                       2.9.3           GNU Library or Lesser General Public License (LGPL)                                 
 parso                          0.8.1           MIT License                                                                         
 partd                          1.3.0           BSD                                                                                 
 pathtools                      0.1.2           MIT License                                                                         
 pathtools                      0.1.2           MIT License                                                                         
 peewee                         3.14.8          MIT License                                                                         
 pexpect                        4.8.0           ISC License (ISCL)                                                                  
 pickleshare                    0.7.5           MIT License                                                                         
 pilkit                         2.0             BSD License                                                                         
 plotly                         5.11.0          MIT                                                                                 
 pluggy                         0.13.1          MIT License                                                                         
 pluggy                         0.13.1          MIT License                                                                         
 ply                            3.11            BSD                                                                                 
 proglog                        0.1.10          MIT                                                                                 
